pseudoID,factor_1,factor_2,factor_2a,factor_3,factor_4,factor_5,factor_5a,factor_6,factor_7,factor_8,factor_9,allRaces,race,sex,psa_court_case_eligible_booking,psa_outcome_eligible,fta_points,nca_points,nvca_points,fta_score,nca_score,nvca_score,nvca_flag,fta,nca,nvca,time_at_risk_fta,time_at_risk_nca,time_at_risk_nvca_new,race1,sex1,release
6255056599,0,0,0,0,1,0,1,0,0,1,0,Black,Non-white,Male,1,Released,2,1,1,3,2,1,0,0.0,1.0,0.0,482.0,25.0,482.0,0,1,1
429574333,0,1,0,1,1,1,1,2,1,1,1,Black,Non-white,Male,1,Detained,5,9,5,5,6,5,1,,,,,,,0,1,0
7517264688,0,0,0,1,0,0,0,0,2,0,0,Black,Non-white,Female,1,Released,5,5,1,5,4,1,0,0.0,0.0,0.0,71.0,71.0,71.0,0,0,1
2149462078,0,1,0,0,0,0,0,0,2,0,0,Black,Non-white,Female,1,Released,4,2,2,4,2,2,0,0.0,0.0,0.0,234.0,234.0,234.0,0,0,1
2414244461,0,0,0,0,1,1,1,2,0,0,1,Black,Non-white,Male,1,Detained,1,5,2,2,4,2,0,,,,,,,0,1,0
6754235527,0,1,0,1,1,1,1,2,0,0,1,Black,Non-white,Male,1,Detained,2,8,5,3,5,5,1,,,,,,,0,1,0
2095746501,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,2,1,1,2,0,,,,,,,0,1,0
3128155351,0,1,0,0,1,1,1,2,0,0,1,Black,Non-white,Male,1,Detained,1,5,4,2,4,4,1,,,,,,,0,1,0
2157065879,0,0,0,1,1,1,1,2,0,1,1,Black,Non-white,Male,1,Detained,3,8,3,4,5,3,0,,,,,,,0,1,0
3934890857,0,0,0,0,1,0,1,0,0,0,0,White,White,Female,1,Released,1,1,1,2,2,1,0,1.0,1.0,0.0,181.0,219.0,258.0,1,0,1
3596958408,0,0,0,0,1,1,1,0,0,0,1,Black,Non-white,Male,1,Released,1,4,1,2,3,1,0,0.0,1.0,0.0,350.0,5.0,350.0,0,1,1
3758029207,0,1,0,0,1,1,1,2,0,1,1,Black,Non-white,Male,1,Detained,2,5,4,3,4,4,1,,,,,,,0,1,0
6628699327,0,0,0,0,1,0,1,2,0,1,0,White,White,Male,1,Released,2,2,2,3,2,2,0,1.0,1.0,0.0,105.0,26.0,513.0,1,1,1
8494561267,0,0,0,0,1,1,1,1,0,0,1,Black,Non-white,Male,1,Released,1,5,2,2,4,2,0,0.0,0.0,0.0,445.0,445.0,445.0,0,1,1
8970617915,0,0,0,0,0,0,1,0,0,0,0,Black,Non-white,Male,1,Detained,1,0,1,2,1,1,0,,,,,,,0,1,0
2694088984,0,0,0,0,1,0,1,0,2,1,0,Black,Non-white,Female,1,Released,6,3,1,5,3,1,0,0.0,1.0,0.0,143.0,82.0,143.0,0,0,1
6045783282,0,0,0,1,0,0,0,0,0,0,0,White,White,Male,1,Detained,1,3,1,2,3,1,0,,,,,,,1,1,0
2160305625,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,28.0,28.0,28.0,0,1,1
8721163442,0,1,0,1,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,1,3,3,2,3,3,0,0.0,0.0,0.0,78.0,78.0,78.0,0,1,1
